City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hilo,19.7297,-155.09,22.0,83,90,2.06,US,1615779330
Te Anau,-45.4167,167.7167,15.71,80,65,2.68,NZ,1615779422
Esperance,-33.8667,121.9,22.0,37,64,5.14,AU,1615779265
Port Elizabeth,-33.918,25.5701,20.0,94,100,1.54,ZA,1615779264
Beruwala,6.4788,79.9828,28.86,70,10,1.26,LK,1615779423
Ergani,38.2653,39.7621,6.0,87,75,1.54,TR,1615779363
New Norfolk,-42.7826,147.0587,21.67,41,20,1.34,AU,1615779266
Butaritari,3.0707,172.7902,27.57,78,9,6.11,KI,1615779300
Harwich,51.9419,1.2844,7.22,81,91,4.02,GB,1615779424
Vysha,53.8477,42.3777,-4.38,91,60,5.26,RU,1615779424
Punta Arenas,-53.15,-70.9167,9.0,87,90,3.09,CL,1615779202
Pevek,69.7008,170.3133,-21.89,96,100,6.92,RU,1615779274
Saint Paul Harbor,57.79,-152.4072,2.0,60,1,5.66,US,1615779102
Pimentel,-6.8367,-79.9342,23.33,83,100,1.34,PE,1615779425
Avarua,-21.2078,-159.775,28.0,78,20,3.09,CK,1615779302
Miraflores,19.2167,-98.8083,22.0,35,75,4.12,MX,1615779426
Bluff,-46.6,168.3333,14.44,77,59,6.26,NZ,1615779267
Brae,60.3964,-1.353,5.0,87,40,3.6,GB,1615779426
Jamestown,42.097,-79.2353,-5.0,63,1,4.68,US,1615779281
Lebu,-37.6167,-73.65,12.54,93,1,0.74,CL,1615779332
Cape Town,-33.9258,18.4232,18.89,88,75,7.72,ZA,1615779233
Celendín,-6.8703,-78.1517,12.15,90,100,0.43,PE,1615779427
Bengkulu,-3.8004,102.2655,28.36,76,9,2.74,ID,1615779268
Qaanaaq,77.484,-69.3632,-21.49,61,99,3.47,GL,1615778994
Hambantota,6.1241,81.1185,29.0,65,0,3.09,LK,1615779284
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Bethel,41.3712,-73.414,-1.0,31,1,6.69,US,1615779297
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Praia,14.9215,-23.5087,19.0,72,0,4.12,CV,1615779429
Atuona,-9.8,-139.0333,26.9,69,7,4.74,PF,1615779259
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Amapá,1.0,-52.0,21.49,99,100,0.48,BR,1615779430
Manacapuru,-3.2997,-60.6206,24.0,94,0,0.51,BR,1615779431
Bilibino,68.0546,166.4372,-23.8,92,100,2.26,RU,1615779431
Severo-Kuril'sk,50.6789,156.125,2.75,85,7,2.47,RU,1615779307
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Pangoa,-12.1167,-73.0,19.73,98,98,0.91,PE,1615779432
Salalah,17.0151,54.0924,21.0,49,0,2.06,OM,1615779259
Laguna,38.421,-121.4238,12.78,66,90,3.09,US,1615779157
Hobart,-42.8794,147.3294,21.67,40,40,8.75,AU,1615779002
Savé,8.0425,2.486,26.77,72,97,1.46,BJ,1615779433
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Barrow,71.2906,-156.7887,-21.0,77,1,5.14,US,1615779262
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Te Anau,-45.4167,167.7167,15.71,80,65,2.68,NZ,1615779422
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Geraldton,-28.7667,114.6,35.0,16,57,9.77,AU,1615779435
Barrow,71.2906,-156.7887,-21.0,77,1,5.14,US,1615779262
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Port Elizabeth,-33.918,25.5701,20.0,94,100,1.54,ZA,1615779264
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Tuktoyaktuk,69.4541,-133.0374,-28.0,76,75,4.12,CA,1615779286
Saint-Philippe,-21.3585,55.7679,25.0,78,90,2.06,RE,1615779280
Jamestown,42.097,-79.2353,-5.0,63,1,4.68,US,1615779281
Illintsi,49.1048,29.2177,1.77,96,100,1.82,UA,1615779437
Vaini,-21.2,-175.2,24.0,94,75,1.54,TO,1615779277
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Hilo,19.7297,-155.09,22.0,83,90,2.06,US,1615779330
Quang Ngai,15.1167,108.8,27.36,64,26,2.4,VN,1615779439
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Saskylakh,71.9167,114.0833,-28.32,93,97,1.71,RU,1615779360
São Filipe,14.8961,-24.4956,21.49,73,0,1.82,CV,1615779440
Mexico,15.0646,120.7198,32.0,51,75,4.12,PH,1615779416
Isangel,-19.55,169.2667,26.0,94,75,3.24,VU,1615779441
Mar del Plata,-38.0023,-57.5575,20.56,94,0,2.57,AR,1615779272
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Cape Town,-33.9258,18.4232,18.89,88,75,7.72,ZA,1615779233
Barrow,71.2906,-156.7887,-21.0,77,1,5.14,US,1615779262
Chokurdakh,70.6333,147.9167,-25.35,91,0,2.63,RU,1615779269
Kasongo-Lunda,-6.4667,16.8167,20.17,95,100,0.4,CD,1615779442
Drayton Valley,53.2168,-114.9854,7.22,63,100,2.45,CA,1615779442
Río Gallegos,-51.6226,-69.2181,10.0,87,0,2.06,AR,1615779377
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Gatesville,31.4352,-97.7439,12.78,66,1,3.09,US,1615779443
Chimbote,-9.0853,-78.5783,23.05,75,95,2.19,PE,1615779444
Hambantota,6.1241,81.1185,29.0,65,0,3.09,LK,1615779284
Souillac,-20.5167,57.5167,25.0,94,75,1.03,MU,1615779275
Caravelas,-17.7125,-39.2481,22.98,84,0,1.88,BR,1615779281
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Lagoa,39.05,-27.9833,15.17,91,36,4.69,PT,1615779445
Khatanga,71.9667,102.5,-28.65,92,100,5.08,RU,1615779271
Zhigansk,66.7697,123.3711,-25.48,73,1,2.56,RU,1615779446
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Castro,-24.7911,-50.0119,16.73,91,16,0.94,BR,1615779175
Talnakh,69.4865,88.3972,-30.27,95,35,1.01,RU,1615779431
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Manturovo,58.3353,44.7619,0.74,99,100,3.9,RU,1615779447
Arraial do Cabo,-22.9661,-42.0278,24.61,86,99,7.42,BR,1615779283
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Saint George,37.1041,-113.5841,12.78,40,1,1.54,US,1615779447
Kruisfontein,-34.0033,24.7314,20.0,97,100,0.89,ZA,1615778974
Tuatapere,-46.1333,167.6833,14.44,77,80,6.26,NZ,1615779291
Atuona,-9.8,-139.0333,26.9,69,7,4.74,PF,1615779259
Barrow,71.2906,-156.7887,-21.0,77,1,5.14,US,1615779262
Vanimo,-2.6741,141.3028,29.15,74,99,3.33,PG,1615779388
Fort Nelson,58.8053,-122.7002,-17.0,71,40,1.54,CA,1615779449
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Madang,-5.2246,145.7966,29.48,70,80,2.85,PG,1615779450
Luebo,-5.35,21.4167,21.17,97,100,0.45,CD,1615779450
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Bluff,-46.6,168.3333,14.44,77,59,6.26,NZ,1615779267
Barrow,71.2906,-156.7887,-21.0,77,1,5.14,US,1615779262
Punta Arenas,-53.15,-70.9167,9.0,87,90,3.09,CL,1615779202
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Brae,60.3964,-1.353,5.0,87,40,3.6,GB,1615779426
Lüderitz,-26.6481,15.1594,17.55,79,0,8.2,NA,1615779453
Sisimiut,66.9395,-53.6735,-14.64,84,91,4.37,GL,1615779295
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Sheboygan,43.7333,-87.9334,-0.56,72,100,4.02,US,1615779453
San Patricio,28.017,-97.5169,15.0,82,75,1.54,US,1615779329
Port Elizabeth,-33.918,25.5701,20.0,94,100,1.54,ZA,1615779264
Rybnoye,54.7256,39.5119,1.67,93,100,6.9,RU,1615779454
Cape Town,-33.9258,18.4232,18.89,88,75,7.72,ZA,1615779233
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Saquarema,-22.92,-42.5103,25.0,100,0,3.09,BR,1615779455
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Lakes Entrance,-37.8811,147.981,23.33,48,0,0.89,AU,1615779375
Punta Arenas,-53.15,-70.9167,9.0,87,90,3.09,CL,1615779202
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
San Patricio,28.017,-97.5169,15.0,82,75,1.54,US,1615779329
Moose Factory,51.2585,-80.6094,-17.0,60,1,4.63,CA,1615779457
Katsuura,35.1333,140.3,17.0,41,40,5.14,JP,1615779260
Lebu,-37.6167,-73.65,12.54,93,1,0.74,CL,1615779332
Mount Gambier,-37.8333,140.7667,20.0,68,75,5.66,AU,1615779104
Muros,42.7762,-9.0603,7.22,87,1,4.49,ES,1615779445
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Atuona,-9.8,-139.0333,26.9,69,7,4.74,PF,1615779259
Lebu,-37.6167,-73.65,12.54,93,1,0.74,CL,1615779332
Faya,18.3851,42.4509,15.0,41,0,1.35,SA,1615779359
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Punta Arenas,-53.15,-70.9167,9.0,87,90,3.09,CL,1615779202
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Thompson,55.7435,-97.8558,-3.0,39,75,4.12,CA,1615779258
Evensk,61.95,159.2333,-16.98,78,30,0.06,RU,1615779461
Chui,-33.6971,-53.4616,16.9,82,0,1.31,UY,1615779270
Nikolskoye,59.7035,30.7861,2.0,93,75,3.0,RU,1615779294
Nishihara,26.1842,127.7558,28.0,30,40,4.63,JP,1615779462
Kaitangata,-46.2817,169.8464,15.09,83,94,3.26,NZ,1615779260
Tuktoyaktuk,69.4541,-133.0374,-28.0,76,75,4.12,CA,1615779286
Tuktoyaktuk,69.4541,-133.0374,-28.0,76,75,4.12,CA,1615779286
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Alappuzha,9.49,76.3264,28.36,69,0,2.42,IN,1615779463
Punta Arenas,-53.15,-70.9167,9.0,87,90,3.09,CL,1615779202
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Talcahuano,-36.7167,-73.1167,13.0,94,90,2.57,CL,1615779315
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Tautira,-17.7333,-149.15,30.56,66,40,2.57,PF,1615779464
Provideniya,64.3833,-173.3,-3.85,93,100,5.03,RU,1615779263
Port Alfred,-33.5906,26.891,20.56,96,98,4.2,ZA,1615778967
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Port Alfred,-33.5906,26.891,20.56,96,98,4.2,ZA,1615778967
Port Alfred,-33.5906,26.891,20.56,96,98,4.2,ZA,1615778967
Arraial do Cabo,-22.9661,-42.0278,24.61,86,99,7.42,BR,1615779283
Hermanus,-34.4187,19.2345,16.11,95,91,0.45,ZA,1615779264
Klaksvík,62.2266,-6.589,2.0,87,75,4.12,FO,1615779367
Butaritari,3.0707,172.7902,27.57,78,9,6.11,KI,1615779300
Tasiilaq,65.6145,-37.6368,-4.0,54,90,11.83,GL,1615779301
Castro,-24.7911,-50.0119,16.73,91,16,0.94,BR,1615779175
Thompson,55.7435,-97.8558,-3.0,39,75,4.12,CA,1615779258
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Castro,-24.7911,-50.0119,16.73,91,16,0.94,BR,1615779175
Kuusamo,65.9667,29.1833,-2.0,93,90,1.03,FI,1615779468
Severo-Kuril'sk,50.6789,156.125,2.75,85,7,2.47,RU,1615779307
Saint-Philippe,-21.3585,55.7679,25.0,78,90,2.06,RE,1615779280
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Fairbanks,64.8378,-147.7164,-9.0,56,1,1.38,US,1615779310
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Hobart,-42.8794,147.3294,21.67,40,40,8.75,AU,1615779002
Mapiripán,2.8892,-72.1256,24.01,86,100,2.33,CO,1615779470
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Pandan,14.0453,124.1694,27.91,82,54,0.58,PH,1615779471
Castro,-24.7911,-50.0119,16.73,91,16,0.94,BR,1615779175
Kysyl-Syr,63.8986,122.7617,-22.0,87,30,3.89,RU,1615779471
Westport,41.1415,-73.3579,-0.56,34,1,9.26,US,1615779472
Souillac,-20.5167,57.5167,25.0,94,75,1.03,MU,1615779275
Flinders,-34.5833,150.8552,21.11,34,0,3.6,AU,1615779472
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Yellowknife,62.456,-114.3525,-13.0,78,90,4.12,CA,1615779284
Bluff,-46.6,168.3333,14.44,77,59,6.26,NZ,1615779267
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Yellowknife,62.456,-114.3525,-13.0,78,90,4.12,CA,1615779284
Sayansk,54.1088,102.1648,-11.69,89,100,3.18,RU,1615779474
Hobart,-42.8794,147.3294,21.67,40,40,8.75,AU,1615779002
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Kapaa,22.0752,-159.319,23.0,88,90,8.23,US,1615779264
Avarua,-21.2078,-159.775,28.0,78,20,3.09,CK,1615779302
Nikolskoye,59.7035,30.7861,2.0,93,75,3.0,RU,1615779294
Cape Town,-33.9258,18.4232,18.89,88,75,7.72,ZA,1615779233
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Manicoré,-5.8092,-61.3003,24.0,100,20,1.54,BR,1615779477
Alegrete,-29.7831,-55.7919,20.94,61,6,6.45,BR,1615779477
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Atuona,-9.8,-139.0333,26.9,69,7,4.74,PF,1615779259
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Pangody,65.85,74.4859,-9.42,94,97,3.46,RU,1615779478
Saint George,37.1041,-113.5841,12.78,40,1,1.54,US,1615779447
Port Lincoln,-34.7333,135.8667,20.27,63,99,3.3,AU,1615779328
Kudahuvadhoo,2.6708,72.8944,28.58,69,96,3.18,MV,1615779479
Yellowknife,62.456,-114.3525,-13.0,78,90,4.12,CA,1615779284
Bloemfontein,-29.1211,26.214,13.0,82,0,1.03,ZA,1615779409
Dali,25.7,100.1833,19.94,32,0,2.78,CN,1615779480
Alice,27.7523,-98.0697,15.0,72,1,2.66,US,1615779480
Praia da Vitória,38.7333,-27.0667,15.56,88,20,2.03,PT,1615779481
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Butaritari,3.0707,172.7902,27.57,78,9,6.11,KI,1615779300
Hithadhoo,-0.6,73.0833,29.1,62,82,2.75,MV,1615779282
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Norman Wells,65.282,-126.8329,-21.0,77,75,3.09,CA,1615779327
Punta Arenas,-53.15,-70.9167,9.0,87,90,3.09,CL,1615779202
Saint-Philippe,-21.3585,55.7679,25.0,78,90,2.06,RE,1615779280
Hāgere Hiywet,8.9833,37.85,15.16,53,54,1.63,ET,1615779483
Ilulissat,69.2167,-51.1,-11.0,52,100,3.6,GL,1615779041
Atuona,-9.8,-139.0333,26.9,69,7,4.74,PF,1615779259
Khatanga,71.9667,102.5,-28.65,92,100,5.08,RU,1615779271
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
Nanortalik,60.1432,-45.2371,-1.5,80,100,3.85,GL,1615779420
Punta Arenas,-53.15,-70.9167,9.0,87,90,3.09,CL,1615779202
Chokurdakh,70.6333,147.9167,-25.35,91,0,2.63,RU,1615779269
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Tiksi,71.6872,128.8694,-16.07,89,100,1.43,RU,1615779269
Cap Malheureux,-19.9842,57.6142,24.44,93,83,0.89,MU,1615779486
Hilo,19.7297,-155.09,22.0,83,90,2.06,US,1615779330
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Half Moon Bay,37.4636,-122.4286,10.56,93,90,8.75,US,1615779487
Hobart,-42.8794,147.3294,21.67,40,40,8.75,AU,1615779002
Bluff,-46.6,168.3333,14.44,77,59,6.26,NZ,1615779267
Chokurdakh,70.6333,147.9167,-25.35,91,0,2.63,RU,1615779269
Riobamba,-1.6667,-78.6333,11.72,92,100,0.54,EC,1615779488
Kapaa,22.0752,-159.319,23.0,88,90,8.23,US,1615779264
Hobart,-42.8794,147.3294,21.67,40,40,8.75,AU,1615779002
Santa Maria,-29.6842,-53.8069,23.0,83,40,4.12,BR,1615779451
Kapaa,22.0752,-159.319,23.0,88,90,8.23,US,1615779264
Nioro,13.35,-15.75,21.42,22,0,2.36,GM,1615779489
Narsaq,60.9167,-46.05,3.0,44,90,19.55,GL,1615779271
Thompson,55.7435,-97.8558,-3.0,39,75,4.12,CA,1615779258
Geraldton,-28.7667,114.6,35.0,16,57,9.77,AU,1615779435
Saint-Philippe,-21.3585,55.7679,25.0,78,90,2.06,RE,1615779280
Vaini,-21.2,-175.2,24.0,94,75,1.54,TO,1615779277
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Hobart,-42.8794,147.3294,21.67,40,40,8.75,AU,1615779002
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Road Town,18.4167,-64.6167,24.44,87,84,6.71,VG,1615779213
Salalah,17.0151,54.0924,21.0,49,0,2.06,OM,1615779259
Avarua,-21.2078,-159.775,28.0,78,20,3.09,CK,1615779302
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Lüderitz,-26.6481,15.1594,17.55,79,0,8.2,NA,1615779453
Mataura,-46.1927,168.8643,14.44,77,99,6.26,NZ,1615779289
San Cristobal,7.7669,-72.225,25.0,78,75,2.57,VE,1615779308
Dakar,14.6937,-17.4441,20.0,83,0,3.6,SN,1615779494
George Town,5.4112,100.3354,32.0,62,20,1.03,MY,1615779195
Ribeira Grande,38.5167,-28.7,15.77,92,34,3.1,PT,1615779270
Khovd,48.0056,91.6419,-6.51,23,100,2.13,MN,1615779495
Limerick,52.6647,-8.6231,9.0,93,75,3.6,IE,1615779495
Najrān,17.4924,44.1277,15.0,44,2,1.03,SA,1615779496
Saldanha,-33.0117,17.9442,16.0,88,76,8.75,ZA,1615779373
Kapaa,22.0752,-159.319,23.0,88,90,8.23,US,1615779264
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Tiksi,71.6872,128.8694,-16.07,89,100,1.43,RU,1615779269
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
São Filipe,14.8961,-24.4956,21.49,73,0,1.82,CV,1615779440
Warri,5.5167,5.75,24.37,86,100,0.54,NG,1615779497
Leningradskiy,69.3833,178.4167,-16.94,93,100,5.38,RU,1615779325
Concordia,-31.393,-58.0209,20.56,57,0,1.34,AR,1615779498
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
Soe,-9.8607,124.284,25.76,78,85,1.01,ID,1615779498
Ushuaia,-54.8,-68.3,9.0,71,75,3.6,AR,1615779268
George Town,5.4112,100.3354,32.0,62,20,1.03,MY,1615779195
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Albany,42.6001,-73.9662,-4.44,31,35,3.13,US,1615779219
Cape Town,-33.9258,18.4232,18.89,88,75,7.72,ZA,1615779233
Hobart,-42.8794,147.3294,21.67,40,40,8.75,AU,1615779002
Nouakchott,18.0858,-15.9785,20.0,56,0,5.14,MR,1615779500
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Saskylakh,71.9167,114.0833,-28.32,93,97,1.71,RU,1615779360
Oriximiná,-1.7656,-55.8661,24.24,88,65,1.39,BR,1615779370
Āsosa,10.0667,34.5333,20.33,39,38,0.76,ET,1615779501
Atuona,-9.8,-139.0333,26.9,69,7,4.74,PF,1615779259
Kudahuvadhoo,2.6708,72.8944,28.58,69,96,3.18,MV,1615779479
Torbay,47.6666,-52.7314,-2.78,93,90,2.57,CA,1615779047
Mehamn,71.0357,27.8492,-0.93,93,100,9.56,NO,1615779415
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Souillac,-20.5167,57.5167,25.0,94,75,1.03,MU,1615779275
Qaqortoq,60.7167,-46.0333,3.0,44,90,19.55,GL,1615779417
Hilo,19.7297,-155.09,22.0,83,90,2.06,US,1615779330
Lorengau,-2.0226,147.2712,29.11,68,98,3.27,PG,1615779321
Ponta do Sol,32.6667,-17.1,12.78,69,99,0.89,PT,1615779105
Hilo,19.7297,-155.09,22.0,83,90,2.06,US,1615779330
George Town,5.4112,100.3354,32.0,62,20,1.03,MY,1615779195
Buritizeiro,-17.3511,-44.9622,18.86,83,97,0.6,BR,1615779505
Saskylakh,71.9167,114.0833,-28.32,93,97,1.71,RU,1615779360
Hilo,19.7297,-155.09,22.0,83,90,2.06,US,1615779330
Ponta do Sol,32.6667,-17.1,12.78,69,99,0.89,PT,1615779105
Mahon,39.8885,4.2658,11.0,71,40,5.66,ES,1615779392
Saskylakh,71.9167,114.0833,-28.32,93,97,1.71,RU,1615779360
Pljevlja,43.3333,19.3333,-2.0,100,90,6.69,ME,1615779506
Talnakh,69.4865,88.3972,-30.27,95,35,1.01,RU,1615779431
Provideniya,64.3833,-173.3,-3.85,93,100,5.03,RU,1615779263
Cherskiy,68.75,161.3,-23.49,90,81,3.19,RU,1615779377
Konotop,51.2403,33.2026,1.73,96,100,5.51,UA,1615779508
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Strelka,58.0728,93.0344,-12.36,88,100,2.17,RU,1615779509
Vaini,-21.2,-175.2,24.0,94,75,1.54,TO,1615779277
Inhambane,-23.865,35.3833,22.86,93,1,1.82,MZ,1615779509
Beringovskiy,63.05,179.3167,-12.72,87,100,4.86,RU,1615779409
Mehamn,71.0357,27.8492,-0.93,93,100,9.56,NO,1615779415
Rio Grande,-32.035,-52.0986,20.16,76,9,3.48,BR,1615779510
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Sobolevo,54.4299,31.8996,1.04,95,98,4.57,RU,1615779511
Altay,47.8667,88.1167,-5.62,91,100,1.32,CN,1615779511
Necochea,-38.5473,-58.7368,13.89,94,0,0.89,AR,1615779297
Thompson,55.7435,-97.8558,-3.0,39,75,4.12,CA,1615779258
Norman Wells,65.282,-126.8329,-21.0,77,75,3.09,CA,1615779327
Cape Town,-33.9258,18.4232,18.89,88,75,7.72,ZA,1615779233
Pangnirtung,66.1451,-65.7125,-28.03,86,4,0.84,CA,1615779267
East London,-33.0153,27.9116,22.0,94,75,4.12,ZA,1615779261
Ibirama,-27.0569,-49.5178,21.11,99,79,0.68,BR,1615779513
Saint George,37.1041,-113.5841,12.78,40,1,1.54,US,1615779447
Port Elizabeth,-33.918,25.5701,20.0,94,100,1.54,ZA,1615779264
Kapit,2.0167,112.9333,35.17,48,55,0.05,MY,1615779514
Hermanus,-34.4187,19.2345,16.11,95,91,0.45,ZA,1615779264
Pokhara,28.2333,83.9833,25.76,28,0,2.49,NP,1615779515
Opuwo,-18.0607,13.84,19.14,84,57,0.57,NA,1615779515
Mahébourg,-20.4081,57.7,25.0,94,75,1.03,MU,1615778997
Tena,-0.9833,-77.8167,21.38,99,100,1.22,EC,1615779516
Bezhetsk,57.7851,36.6965,1.2,97,100,5.1,RU,1615779516
Vaini,-21.2,-175.2,24.0,94,75,1.54,TO,1615779277
Busselton,-33.65,115.3333,25.0,41,9,3.13,AU,1615779259
Zhangjiakou,40.81,114.8794,3.03,18,41,7.93,CN,1615779517
Rikitea,-23.1203,-134.9692,27.62,71,37,1.17,PF,1615779261
Voh,-20.9667,164.7,28.74,65,36,3.5,NC,1615779517
Lebu,-37.6167,-73.65,12.54,93,1,0.74,CL,1615779332
Qaanaaq,77.484,-69.3632,-21.49,61,99,3.47,GL,1615778994
